party,word,count
DIE LINKE,geht,16633
DIE LINKE,Menschen,16245
DIE LINKE,heute,15602
DIE LINKE,gibt,15250
DIE LINKE,immer,14228
DIE LINKE,u,13852
DIE LINKE,dieLinke,12643
DIE LINKE,innen,11329
DIE LINKE,Linksfraktion,11082
DIE LINKE,%,9939
DIE LINKE,gut,9533
DIE LINKE,wurde,9169
DIE LINKE,Danke,9152
DIE LINKE,müssen,9113
DIE LINKE,the,9089
DIE LINKE,Heute,8677
DIE LINKE,wäre,8538
DIE LINKE,lt,8508
DIE LINKE,via,8399
DIE LINKE,Bundestag,8317
DIE LINKE,to,8178
DIE LINKE,beim,8102
GRÜNE,geht,23839
GRÜNE,heute,22196
GRÜNE,Menschen,21761
GRÜNE,gibt,20076
GRÜNE,immer,19045
GRÜNE,Danke,18123
GRÜNE,innen,17004
GRÜNE,müssen,16358
GRÜNE,gut,15914
GRÜNE,the,15231
GRÜNE,%,13254
GRÜNE,beim,13147
GRÜNE,Bundestag,13142
GRÜNE,gerade,13020
GRÜNE,RT,12765
GRÜNE,CDU,12270
GRÜNE,Heute,12014
GRÜNE,wäre,11882
GRÜNE,Die_Gruenen,11470
GRÜNE,Grüne,11176
GRÜNE,'s,10879
GRÜNE,Deutschland,10855
SPD,SPD,21383
SPD,heute,17425
SPD,geht,14639
SPD,Heute,12779
SPD,Danke,11391
SPD,Berlin,11172
SPD,gut,10306
SPD,gibt,10281
SPD,Menschen,10254
SPD,immer,10160
SPD,spdbt,9965
SPD,the,9795
SPD,müssen,8997
SPD,spdde,8979
SPD,beim,8893
SPD,Morgen,7956
SPD,CDU,7328
SPD,gerade,7012
SPD,to,6801
SPD,Deutschland,6715
SPD,Glückwunsch,6522
SPD,Bundestag,6363
CDU,CDU,26563
CDU,heute,15960
CDU,cducsubt,15309
CDU,geht,12625
CDU,Heute,11092
CDU,beim,10758
CDU,SPD,9893
CDU,Danke,9412
CDU,u,9273
CDU,Berlin,8803
CDU,immer,8801
CDU,Deutschland,8452
CDU,müssen,8223
CDU,gut,8115
CDU,gibt,8078
CDU,Bundestag,7901
CDU,”,7655
CDU,Menschen,7445
CDU,Glückwunsch,7348
CDU,gute,5941
CDU,%,5715
CDU,Thema,5714
CSU,RT,4458
CSU,CSU,2728
CSU,heute,1813
CSU,Danke,1516
CSU,geht,1462
CSU,csu_bt,1430
CSU,DoroBaer,1407
CSU,cducsubt,1250
CSU,Heute,1164
CSU,immer,1158
CSU,Bayern,1124
CSU,Bundestag,1016
CSU,beim,1008
CSU,Deutschland,1000
CSU,gibt,962
CSU,gut,945
CSU,müssen,939
CSU,gerade,894
CSU,Berlin,875
CSU,Glückwunsch,819
CSU,Wer,810
CSU,'s,780
FDP,fdp,24440
FDP,FDP,21460
FDP,fdpbt,17744
FDP,geht,16335
FDP,immer,14524
FDP,müssen,13989
FDP,heute,13398
FDP,gibt,13267
FDP,TB,12657
FDP,Deutschland,11761
FDP,the,10988
FDP,Menschen,10874
FDP,c_lindner,10543
FDP,wäre,10351
FDP,gut,10162
FDP,Danke,10096
FDP,beim,9045
FDP,Wer,8157
FDP,gerade,7949
FDP,Bundestag,7904
FDP,to,7861
FDP,einfach,7620
AfD,AfD,48344
AfD,Deutschland,14732
AfD,Bundestag,9516
AfD,Berlin,8339
AfD,via,8195
AfD,CDU,7769
AfD,immer,7739
AfD,AfDimBundestag,7535
AfD,SPD,7143
AfD,geht,6789
AfD,Wer,6670
AfD,Merkel,6406
AfD,gibt,6352
AfD,Menschen,5768
AfD,Bürger,5217
AfD,welt,5058
AfD,Land,4850
AfD,heute,4762
AfD,Politik,4742
AfD,müssen,4606
AfD,%,4433
AfD,wurde,4198
