study;version;doi;field_start;field_end;id;lastname;firstname;gender;state;party;district_name;district_number;incumbent;list_place;isListed;isDC;screen_name1;screen_name2;user_id1;user_id2;change_v2
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11492;"Abdi";"Sanae";"w";"NW";"SPD";"Köln I";93;0;40;1;1;"_sanaeabdi";"";"200695422";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3293;"Abel";"Valentin Christian";"m";"BW";"FDP";"Schwäbisch Hall  Hohenlohe";268;0;12;1;1;"valentin_c_abel";"";"1699863337";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3255;"Abelein";"Urs Jakob";"m";"BW";"SPD";"Waiblingen";264;0;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10425;"Abelmann";"Jürgen";"m";"NI";"DIE LINKE";"Diepholz  Nienburg I";33;0;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10305;"Abeln";"Carolin";"w";"NI";"FDP";"Cloppenburg  Vechta";32;0;15;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";13895;"Abercron";"Ernst Michael";"m";"SH";"CDU";"Pinneberg";7;1;9;1;1;"mvabercron";"";"862747349277450240";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";1001;"Abraham";"Knut Friedrich Alexander";"m";"BB";"CDU";"Elbe-Elster  Oberspreewald-Lausitz II";65;0;4;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";5863;"Achelwilm";"Doris";"w";"HB";"DIE LINKE";"Bremen II  Bremerhaven";55;1;1;1;1;"dorisachelwilm";"";"4819478705";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10426;"Adams";"Swen";"m";"NI";"DIE LINKE";"Osnabrück-Land";38;0;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10427;"Adler";"Hans-Henning";"m";"NI";"DIE LINKE";"Friesland  Wilhelmshaven  Wittmund";26;0;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";9149;"Adler";"Sebastian";"m";"MV";"FDP";"Vorpommern-Rügen  Vorpommern-Greifswald I";15;0;3;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";6975;"Adler";"Katja";"w";"HE";"FDP";"Hochtaunus";176;0;6;1;1;"katjadler";"";"712941191";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4745;"Adrian";"Andreas";"m";"BY";"DIE LINKE";"Main-Spessart";249;0;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3332;"Aeffner";"Stephanie";"w";"BW";"GRÜNE";"Pforzheim";279;0;15;1;1;"s_aeffner";"";"982288614";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10306;"Aggelidis";"Grigorios";"m";"NI";"FDP";"Hannover-Land I";43;1;28;1;1;"aggelidis_fdp";"";"976107205849206784";"";0
